1.IMU_yaw(deg),2.IMU_diff (deg),3.Max Degree(deg),4.Mag dx(px)
-135.9048,0.0216,63.0,3.0
-135.9033,0.0015,99.0,4.0
-135.882,0.0213,114.0,4.0
-135.8611,0.021,86.0,3.0
-135.8524,0.0087,74.0,4.0
-135.842,0.0104,82.0,4.0
-135.8186,0.0234,87.0,5.0
-135.8128,0.0058,85.0,5.0
-135.7959,0.017,88.0,3.0
-135.7547,0.0411,64.0,8.0
-135.7375,0.0172,63.0,12.0
-135.74,0.0024,76.0,3.0
-135.7563,0.0164,88.0,12.0
-135.7586,0.0023,94.0,3.0
-135.7911,0.0324,88.0,14.0
-135.8194,0.0283,84.0,3.0
-135.8634,0.044,87.0,8.0
-135.9133,0.0499,94.0,4.0
-136.0192,0.1059,96.0,8.0
-136.1683,0.1491,91.0,12.0
-136.2874,0.1191,81.0,15.0
-136.5064,0.219,72.0,2.0
-136.6175,0.1111,75.0,5.0
-136.8791,0.2615,81.0,8.0
-137.1459,0.2669,87.0,11.0
-137.451,0.3051,79.0,8.0
-137.6121,0.1611,76.0,6.0
-137.9806,0.3685,87.0,5.0
-138.3804,0.3998,103.0,8.0
-138.8004,0.42,101.0,13.0
-139.0208,0.2204,95.0,14.0
-139.4869,0.4661,98.0,6.0
-140.002,0.5151,98.0,10.0
-140.5506,0.5486,99.0,15.0
-141.1235,0.5729,99.0,4.0
-141.4136,0.2901,92.0,12.0
-142.0234,0.6098,89.0,8.0
-142.667,0.6436,86.0,13.0
-143.3296,0.6626,89.0,13.0
-143.6722,0.3426,91.0,9.0
-144.3551,0.6829,96.0,14.0
-145.0605,0.7054,99.0,9.0
-145.4138,0.3533,104.0,14.0
-146.1788,0.7649,93.0,14.0
-147.0018,0.823,85.0,21.0
-147.8643,0.8625,82.0,6.0
-148.3803,0.516,81.0,18.0
-149.3999,1.0196,87.0,13.0
-149.9486,0.5488,92.0,21.0
-151.0793,1.1306,90.0,15.0
-152.2282,1.149,87.0,8.0
-152.8506,0.6224,92.0,26.0
-154.1283,1.2777,89.0,8.0
-155.4062,1.2779,89.0,28.0
-156.1057,0.6995,94.0,23.0
-157.5425,1.4368,88.0,10.0
-158.9783,1.4357,84.0,28.0
-159.7042,0.7259,72.0,27.0
-161.9802,2.276,82.0,29.0
-162.7933,0.8131,89.0,11.0
-164.4174,1.6241,91.0,22.0
-165.2274,0.81,84.0,27.0
-166.8573,1.6299,88.0,23.0
-168.5006,1.6433,82.0,28.0
-169.3334,0.8328,87.0,29.0
-171.0373,1.7039,91.0,23.0
-171.8991,0.8618,179.0,0.0
-173.6688,1.7697,96.0,12.0
-174.5209,0.852,97.0,25.0
-176.26,1.7392,114.0,9.0
-177.1506,0.8906,94.0,25.0
-179.0046,1.854,95.0,26.0
179.0703,358.0749,114.0,12.0
178.0959,0.9745,179.0,0.0
176.1622,1.9336,91.0,28.0
174.1936,1.9687,179.0,0.0
173.1871,1.0064,91.0,15.0
171.2103,1.9768,127.0,4.0
169.2256,1.9847,179.0,0.0
167.1926,2.033,93.0,27.0
133.0066,0.1081,85.0,5.0
132.7854,0.2212,83.0,9.0
132.6967,0.0887,112.0,2.0
132.6637,0.033,93.0,3.0
132.6016,0.0621,95.0,3.0
132.5411,0.0604,121.0,1.0
-135.8524,268.3935,85.0,21.0
-135.842,0.0104,82.0,4.0
-135.8186,0.0234,87.0,5.0
