1. uncorreted dist,2. corrected dst,3. LiDAR GT 
34.459999084472656,2.890000104904175,0
33.650001525878906,2.859999895095825,0
30.510000228881836,2.890000104904175,0
25.1200008392334,2.9200000762939453,0
25.1200008392334,2.9200000762939453,0
26.940000534057617,2.8299999237060547,0
26.940000534057617,2.8299999237060547,0
29.020000457763672,2.880000114440918,0
28.979999542236328,2.8499999046325684,0
28.959999084472656,2.859999895095825,0
28.959999084472656,2.859999895095825,0
29.25,2.869999885559082,0
26.610000610351562,2.9200000762939453,0
29.1299991607666,2.859999895095825,0
28.68000030517578,2.890000104904175,0
24.940000534057617,2.9100000858306885,0
25.770000457763672,2.890000104904175,0
24.959999084472656,2.880000114440918,0
22.809999465942383,2.9100000858306885,0
19.219999313354492,2.9700000286102295,0
17.719999313354492,3.0,0
15.449999809265137,3.0199999809265137,0
13.34000015258789,3.069999933242798,0
12.600000381469727,3.0899999141693115,0
13.079999923706055,3.049999952316284,0
14.260000228881836,3.0299999713897705,0
15.460000038146973,3.0199999809265137,0
17.43000030517578,2.9800000190734863,0
18.979999542236328,2.9800000190734863,0
19.549999237060547,2.930000066757202,0
21.739999771118164,2.9200000762939453,0
23.719999313354492,2.890000104904175,0
25.290000915527344,2.9100000858306885,0
25.290000915527344,2.9100000858306885,0
35.459999084472656,2.809999942779541,0
35.459999084472656,2.809999942779541,0
48.060001373291016,2.8299999237060547,0
74.37000274658203,2.7899999618530273,0
74.37000274658203,2.7799999713897705,0
74.37000274658203,2.75,0
67.56999969482422,2.799999952316284,0
48.70000076293945,2.8399999141693115,0
48.70000076293945,2.8399999141693115,0
30.8700008392334,2.8299999237060547,0
28.31999969482422,2.7899999618530273,0
27.90999984741211,2.809999942779541,0
27.90999984741211,2.809999942779541,0
27.90999984741211,2.809999942779541,0
28.25,2.75,0
29.18000030517578,2.700000047683716,0
31.09000015258789,2.6700000762939453,0
31.09000015258789,2.6700000762939453,0
31.18000030517578,2.680000066757202,0
31.18000030517578,2.680000066757202,0
31.18000030517578,2.680000066757202,0
31.18000030517578,2.680000066757202,0
31.18000030517578,2.680000066757202,0
31.18000030517578,2.680000066757202,0
31.18000030517578,2.680000066757202,0
31.18000030517578,2.680000066757202,0
32.880001068115234,2.609999895095825,0
32.880001068115234,2.609999895095825,0
30.1200008392334,2.569999933242798,0
30.43000030517578,2.5999999046325684,0
30.299999237060547,2.569999933242798,0
30.299999237060547,2.569999933242798,0
30.040000915527344,2.5299999713897705,0
30.040000915527344,2.5299999713897705,0
24.399999618530273,2.5299999713897705,0
22.719999313354492,2.549999952316284,0
22.139999389648438,2.5199999809265137,0
22.3799991607666,2.490000009536743,0
23.030000686645508,2.4800000190734863,0
23.940000534057617,2.4000000953674316,0
23.940000534057617,2.4000000953674316,0
24.860000610351562,2.369999885559082,0
23.93000030517578,2.369999885559082,0
23.93000030517578,2.369999885559082,0
26.549999237060547,2.299999952316284,0
26.549999237060547,2.299999952316284,0
26.549999237060547,2.299999952316284,0
26.549999237060547,2.299999952316284,0
26.549999237060547,2.299999952316284,0
26.549999237060547,2.299999952316284,0
26.549999237060547,2.299999952316284,0
